AnimalName,BloodBrainDisease,AppearenceDisease,GeneralDisease,LungDisease,AbdominalDisease,HealthStatus
Dog,anemia,swelling,fever,difficulty in breathing,uteria inertia,Critical
Dog,anemia,emaciation,loss of appetite,difficulty in breathing,ulcers,Critical
Dog,jaundice,hairloss,loss of appetite,halitosis,ulcers,Critical
Dog,wasting,ruffled feathers,pains,pneumonia,uteria inertia,Critical
Dog,convulsions,scabs,weakness,dyspnea,fetopelvic disproportion,Critical
Dog,jaundice,scabs,loss of appetite,respiratory distress,upset stomach,Critical
Dog,jaundice,swelling,vomiting,halitosis,abdominal pain,Critical
Dog,seizures,scabs,vomiting,pneumonia,upset stomach,Critical
Dog,jaundice,emaciation,fever,difficulty in breathing,uteria inertia,Critical
Dog,wasting,weightloss,skin rashes,halitosis,abdominal pain,Critical
Dog,convulsions,emaciation,muscle aches,halitosis,upset stomach,Critical
Dog,jaundice,hairloss,sneezing,dyspnea,diarrhea,Critical
Dog,wasting,swelling,vomiting,dyspnea,uteria inertia,Critical
Dog,seizures,hairloss,loss of appetite,halitosis,diarrhea,Critical
Dog,anemia,weightloss,muscle aches,dyspnea,fetopelvic disproportion,Critical
Dog,anemia,swelling,skin rashes,dyspnea,uteria inertia,Critical
Dog,convulsions,scabs,vomiting,halitosis,abdominal pain,Critical
Dog,anemia,hairloss,coughing,dyspnea,abdominal pain,Critical
Dog,seizures,weightloss,fever,difficulty in breathing,abdominal pain,Critical
Dog,anemia,ruffled feathers,coughing,nasal discharge,fetopelvic disproportion,Critical
Dog,jaundice,weightloss,vomiting,nasal discharge,uteria inertia,Critical
Dog,convulsions,weightloss,vomiting,pneumonia,fetopelvic disproportion,Critical
Dog,wasting,swelling,headache,dyspnea,fetopelvic disproportion,Critical
Dog,anemia,hairloss,headache,difficulty in breathing,diarrhea,Critical
Dog,wasting,weightloss,coughing,nasal discharge,uteria inertia,Critical
Dog,seizures,hairloss,stumbling,difficulty in breathing,ulcers,Critical
Dog,seizures,weightloss,sneezing,difficulty in breathing,fetopelvic disproportion,Critical
Dog,wasting,emaciation,pains,pneumonia,abdominal pain,Critical
Dog,wasting,hairloss,pains,pneumonia,upset stomach,Critical
Dog,wasting,ruffled feathers,fever,halitosis,abdominal pain,Critical
Dog,anemia,weightloss,dejection,difficulty in breathing,ulcers,Critical
Dog,anemia,hairloss,pains,pneumonia,abdominal pain,Critical
Dog,wasting,weightloss,muscle aches,dyspnea,ulcers,Critical
Dog,anemia,emaciation,dejection,respiratory distress,fetopelvic disproportion,Critical
cat,anemia,swelling,sneezing,respiratory distress,upset stomach,Critical
cat,wasting,emaciation,pains,difficulty in breathing,upset stomach,Critical
cat,wasting,swelling,sneezing,pneumonia,diarrhea,Critical
cat,seizures,ruffled feathers,pains,difficulty in breathing,diarrhea,Critical
cat,convulsions,hairloss,muscle aches,dyspnea,ulcers,Critical
cat,jaundice,emaciation,pains,difficulty in breathing,fetopelvic disproportion,Critical
cat,seizures,scabs,pains,dyspnea,ulcers,Critical
cat,seizures,weightloss,sweating,nasal discharge,fetopelvic disproportion,Critical
cat,wasting,emaciation,headache,dyspnea,diarrhea,Critical
cat,seizures,emaciation,weakness,difficulty in breathing,uteria inertia,Critical
cat,anemia,scabs,fever,respiratory distress,ulcers,Critical
cat,convulsions,swelling,fever,pneumonia,upset stomach,Critical
cat,jaundice,hairloss,stumbling,difficulty in breathing,upset stomach,Critical
cat,convulsions,scabs,stumbling,difficulty in breathing,fetopelvic disproportion,Critical
cat,convulsions,emaciation,loss of appetite,respiratory distress,diarrhea,Critical
cat,anemia,weightloss,sneezing,halitosis,fetopelvic disproportion,Critical
cat,jaundice,scabs,stumbling,halitosis,uteria inertia,Critical
cat,anemia,swelling,vomiting,dyspnea,uteria inertia,Critical
cat,wasting,weightloss,fever,pneumonia,ulcers,Critical
cat,convulsions,ruffled feathers,coughing,pneumonia,ulcers,Critical
cat,jaundice,hairloss,headache,difficulty in breathing,diarrhea,Critical
cat,jaundice,ruffled feathers,skin rashes,difficulty in breathing,ulcers,Critical
cat,jaundice,ruffled feathers,weakness,halitosis,diarrhea,Critical
cat,seizures,swelling,loss of appetite,nasal discharge,ulcers,Critical
cat,wasting,weightloss,skin rashes,difficulty in breathing,ulcers,Critical
cat,jaundice,swelling,dejection,difficulty in breathing,diarrhea,Critical
cat,anemia,emaciation,pains,dyspnea,uteria inertia,Critical
cat,wasting,swelling,fever,halitosis,ulcers,Critical
cat,convulsions,emaciation,weakness,nasal discharge,upset stomach,Critical
cat,wasting,emaciation,weakness,dyspnea,fetopelvic disproportion,Critical
cat,convulsions,swelling,coughing,dyspnea,fetopelvic disproportion,Critical
cat,jaundice,ruffled feathers,vomiting,nasal discharge,uteria inertia,Critical
cat,anemia,scabs,pains,halitosis,ulcers,Critical
cat,convulsions,emaciation,stumbling,respiratory distress,abdominal pain,Critical
cat,seizures,ruffled feathers,sweating,halitosis,uteria inertia,Critical
cat,convulsions,hairloss,fever,halitosis,abdominal pain,Critical
Rabbit,seizures,emaciation,headache,dyspnea,fetopelvic disproportion,Critical
Rabbit,convulsions,weightloss,dejection,halitosis,uteria inertia,Critical
Rabbit,jaundice,ruffled feathers,headache,difficulty in breathing,uteria inertia,Critical
